tx_gain,amplitude,center_freq_hz,sample_rate_sps,span_hz,rbw_hz,vbw_hz,att_db,ref_level_dbm,visible,repeatable,screenshot_file,notes
6,0.30,100000000.0,4092000.0,5000000.0,1000.0,1000.0,10.0,-66.0,,,,
6,0.40,100000000.0,4092000.0,5000000.0,1000.0,1000.0,10.0,-66.0,,,,
6,0.50,100000000.0,4092000.0,5000000.0,1000.0,1000.0,10.0,-66.0,,,,
6,0.60,100000000.0,4092000.0,5000000.0,1000.0,1000.0,10.0,-66.0,,,,
8,0.30,100000000.0,4092000.0,5000000.0,1000.0,1000.0,10.0,-66.0,,,,
8,0.40,100000000.0,4092000.0,5000000.0,1000.0,1000.0,10.0,-66.0,,,,
8,0.50,100000000.0,4092000.0,5000000.0,1000.0,1000.0,10.0,-66.0,,,,
8,0.60,100000000.0,4092000.0,5000000.0,1000.0,1000.0,10.0,-66.0,,,,
10,0.30,100000000.0,4092000.0,5000000.0,1000.0,1000.0,10.0,-66.0,,,,
10,0.40,100000000.0,4092000.0,5000000.0,1000.0,1000.0,10.0,-66.0,,,,
10,0.50,100000000.0,4092000.0,5000000.0,1000.0,1000.0,10.0,-66.0,,,,
10,0.60,100000000.0,4092000.0,5000000.0,1000.0,1000.0,10.0,-66.0,,,,
12,0.30,100000000.0,4092000.0,5000000.0,1000.0,1000.0,10.0,-66.0,,,,
12,0.40,100000000.0,4092000.0,5000000.0,1000.0,1000.0,10.0,-66.0,,,,
12,0.50,100000000.0,4092000.0,5000000.0,1000.0,1000.0,10.0,-66.0,,,,
12,0.60,100000000.0,4092000.0,5000000.0,1000.0,1000.0,10.0,-66.0,,,,
